mq2,mq135,temp,hum,lat,lon,alt
2.77,95.24,30,16,52.470348,13.429461,55.3
2.77,95.24,30,16,52.470352,13.429438,55.3
2.77,95.24,30,16,52.470352,13.429438,55
2.66,95.24,30,16,52.470352,13.429421,55
2.77,92.79,30,16,52.470352,13.429421,54.5
2.88,90.39,30,16,52.470356,13.429405,53.3
2.77,92.79,30,16,52.470352,13.429382,53.9
2.88,92.79,30,16,52.470348,13.429377,53.9
2.77,92.79,30,16,52.470348,13.429377,53.1
2.88,92.79,30,16,52.470348,13.429369,52.2
2.77,95.24,30,16,52.470348,13.429349,51.4
2.77,95.24,30,16,52.470348,13.429337,51.4
2.77,92.79,30,16,52.470348,13.429337,50.9
2.88,95.24,30,16,52.470352,13.429318,49.9
2.66,92.79,30,16,52.470356,13.429303,48.9
2.77,92.79,30,16,52.47036,13.429279,48.9
2.66,92.79,30,16,52.47036,13.429279,48.4
2.66,92.79,30,16,52.47036,13.429263,48.4
2.66,88.03,30,16,52.47036,13.429263,48
2.66,90.39,30,16,52.470364,13.429248,47
2.66,90.39,30,16,52.47036,13.429235,47
2.77,88.03,30,16,52.47036,13.429235,46.5
2.66,90.39,30,16,52.470367,13.429216,46.5
2.77,88.03,30,16,52.470367,13.429216,46.2
2.77,90.39,30,16,52.47036,13.429205,46.2
2.66,92.79,30,16,52.470364,13.429194,46.2
2.66,90.39,30,16,52.470364,13.429194,45.4
2.55,90.39,30,16,52.470367,13.429185,45.4
2.66,85.72,30,16,52.470367,13.429185,44.6
2.55,83.45,30,16,52.470375,13.429171,44
2.55,88.03,30,16,52.470379,13.429155,44
2.66,83.45,30,16,52.470379,13.429155,42.8
2.55,90.39,30,16,52.470387,13.42914,42.8
2.66,85.72,30,16,52.470387,13.42914,42
2.66,92.79,30,16,52.47039,13.429125,41.1
2.77,92.79,30,16,52.47039,13.429108,41.1
2.66,92.79,30,16,52.47039,13.429108,40.6
2.77,95.24,30,16,52.470398,13.429096,40.6
2.88,92.79,30,16,52.470398,13.429096,40
2.77,95.24,31,15,52.470398,13.429084,39.9
2.88,97.73,30,16,52.470398,13.429069,39.9
2.77,95.24,31,15,52.470398,13.429069,39.4
2.66,97.73,30,16,52.470402,13.429049,39
2.77,97.73,31,15,52.470406,13.429036,38.5
2.77,97.73,31,15,52.470409,13.429023,37.9
2.77,97.73,31,15,52.470402,13.428978,37.9
2.88,95.24,31,15,52.470402,13.428978,40.8
2.77,97.73,31,15,52.470406,13.428951,41.6
2.88,97.73,31,15,52.470409,13.428931,41.3
2.77,97.73,31,15,52.470417,13.428913,41.3
2.77,95.24,32,15,52.470417,13.428913,42.9
2.77,97.73,31,15,52.470413,13.428897,44.6
2.77,97.73,31,15,52.470413,13.428881,45.5
2.77,95.24,31,15,52.470402,13.428857,46.1
2.77,95.24,32,15,52.470383,13.428836,46.1
2.77,92.79,31,15,52.470383,13.428836,47.7
2.66,95.24,32,15,52.470375,13.42882,48.1
2.77,95.24,32,15,52.470375,13.428797,47.6
2.66,95.24,32,15,52.470352,13.428774,47.6
2.77,92.79,31,15,52.470352,13.428774,48.7
2.66,95.24,31,15,52.470352,13.428766,48.7
2.77,92.79,32,15,52.470352,13.428766,49.3
2.77,92.79,31,15,52.470352,13.428758,50.3
2.66,95.24,31,15,52.470352,13.428746,50.3
2.66,92.79,31,15,52.470341,13.428724,50.3
2.77,92.79,31,15,52.470341,13.428724,51
2.66,92.79,31,15,52.470337,13.428706,52.8
2.66,95.24,31,15,52.470337,13.428696,53.9
2.66,92.79,31,15,52.470341,13.428694,53.9
2.66,90.39,31,15,52.470341,13.428694,55.4
2.77,92.79,32,15,52.470341,13.428678,56.1
2.66,92.79,32,15,52.470337,13.428676,57.4
2.66,90.39,31,15,52.470329,13.428668,57.4
