mq2,mq135,temp,hum,lat,lon,alt
146,160,24,31,52.601925,13.368765,31.1
146,158,24,31,52.601936,13.368753,31.7
146,156,24,30,52.601955,13.368748,31.7
146,154,24,31,52.601955,13.368748,32.6
145,155,24,31,52.601971,13.368731,32.9
147,154,23,31,52.601978,13.368711,33.2
144,159,24,30,52.60199,13.368694,33.2
146,150,24,31,52.60199,13.368694,33.3
145,155,24,30,52.601994,13.368675,33.5
145,157,20,21,52.602005,13.368657,33.7
145,160,24,31,52.602013,13.368642,33.7
145,155,24,31,52.602013,13.368642,33.8
144,160,24,30,52.602024,13.368628,33.4
145,158,24,30,52.602032,13.368614,33.5
145,160,24,31,52.602043,13.368601,33.9
145,157,24,31,52.602055,13.36859,33.9
144,156,24,31,52.602055,13.36859,33.8
144,158,24,30,52.602066,13.368573,33.8
145,156,24,31,52.602077,13.368555,33.8
144,156,24,30,52.602093,13.36854,33.8
144,154,24,31,52.602093,13.36854,34.3
144,156,20,21,52.602104,13.368526,34.2
145,157,24,30,52.602116,13.368516,34.1
144,154,24,30,52.602123,13.368505,34.1
144,151,24,31,52.602123,13.368505,34.1
144,158,24,30,52.602142,13.368489,34.1
144,147,24,31,52.602142,13.368489,34.6
143,155,24,32,52.60215,13.368474,34.4
140,154,24,31,52.602169,13.368459,34.4
141,147,24,31,52.602169,13.368459,34.5
142,156,24,31,52.602188,13.368449,34.5
141,152,20,21,52.602203,13.368436,33.6
139,153,24,31,52.602219,13.368419,33.8
139,154,24,31,52.602234,13.368399,33.8
141,151,24,31,52.602234,13.368399,34.1
141,148,24,30,52.602245,13.368381,34.5
141,152,24,30,52.602261,13.368362,34.8
142,151,24,32,52.602276,13.368344,34.8
142,154,24,31,52.602276,13.368344,35.9
142,149,24,30,52.602291,13.368328,36.3
143,157,20,21,52.602303,13.368308,36.5
143,153,24,31,52.602322,13.368293,36.5
143,154,24,31,52.602322,13.368293,36.7
143,154,24,31,52.602337,13.368275,36.7
143,148,24,30,52.602337,13.368275,37.2
143,156,24,30,52.602352,13.368257,37.6
143,155,24,31,52.602364,13.368241,37.6
143,149,24,31,52.602364,13.368241,37.6
143,154,24,30,52.602375,13.368226,37.9
143,155,20,21,52.602386,13.368213,38.4
142,153,20,20,52.602406,13.368203,38.4
144,150,24,31,52.602406,13.368203,39.2
143,157,24,31,52.602421,13.368193,39.2
142,148,20,21,52.602421,13.368193,39.2
143,158,24,31,52.602436,13.36818,40
143,152,24,31,52.602448,13.368167,40
144,150,24,31,52.602448,13.368167,39.5
143,158,24,30,52.602463,13.368153,40.1
143,154,24,30,52.602474,13.368137,40.6
143,158,24,30,52.602493,13.36812,40.6
143,149,24,30,52.602493,13.36812,41.7
143,152,24,31,52.602509,13.368104,41.7
143,153,24,31,52.602509,13.368104,42.4
143,151,24,31,52.60252,13.368088,42.7
144,154,24,31,52.602535,13.368072,42.7
143,155,24,30,52.602535,13.368072,43.1
143,156,24,30,52.602551,13.368054,43
144,156,20,21,52.602562,13.368038,43.3
144,153,24,31,52.602577,13.368023,43.3
